2017-04-18 15:03:38 INFO  HadoopRDD:54 - Input split: file:/home/goutam/goutam-lime/lime/lime-core/target/scala-2.11.8/test-classes/intersect_with_overlap_00.bed:286+143
2017-04-18 15:03:38 INFO  HadoopRDD:54 - Input split: file:/home/goutam/goutam-lime/lime/lime-core/target/scala-2.11.8/test-classes/intersect_with_overlap_00.bed:143+143
2017-04-18 15:03:38 INFO  HadoopRDD:54 - Input split: file:/home/goutam/goutam-lime/lime/lime-core/target/scala-2.11.8/test-classes/intersect_with_overlap_00.bed:0+143
2017-04-18 15:03:38 INFO  deprecation:1049 - mapred.tip.id is deprecated. Instead, use mapreduce.task.id
2017-04-18 15:03:38 INFO  deprecation:1049 - mapred.task.partition is deprecated. Instead, use mapreduce.task.partition
2017-04-18 15:03:38 INFO  deprecation:1049 - mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap
2017-04-18 15:03:38 INFO  deprecation:1049 - mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id
2017-04-18 15:03:38 INFO  deprecation:1049 - mapred.job.id is deprecated. Instead, use mapreduce.job.id
2017-04-18 15:03:38 INFO  MemoryStore:54 - Block rdd_2_3 stored as values in memory (estimated size 11.6 KB, free 366.0 MB)
2017-04-18 15:03:38 INFO  MemoryStore:54 - Block rdd_2_2 stored as values in memory (estimated size 11.6 KB, free 366.0 MB)
2017-04-18 15:03:38 INFO  BlockManagerInfo:54 - Added rdd_2_3 in memory on 10.142.33.143:38374 (size: 11.6 KB, free: 366.3 MB)
2017-04-18 15:03:38 INFO  BlockManagerInfo:54 - Added rdd_2_2 in memory on 10.142.33.143:38374 (size: 11.6 KB, free: 366.3 MB)
2017-04-18 15:03:38 INFO  MemoryStore:54 - Block rdd_2_0 stored as values in memory (estimated size 12.1 KB, free 366.0 MB)
2017-04-18 15:03:38 INFO  BlockManagerInfo:54 - Added rdd_2_0 in memory on 10.142.33.143:38374 (size: 12.1 KB, free: 366.2 MB)
2017-04-18 15:03:38 INFO  MemoryStore:54 - Block rdd_2_1 stored as values in memory (estimated size 11.6 KB, free 366.0 MB)
